name;role;nat;height;age;tm_name;gp;w;l;w_pct;min;pts;two_ptm;two_pta;two_pt_pct;three_ptm;three_pta;three_pt_pct;fgm;fga;fg_pct;ftm;fta;ft_pct;or_rebounds;dr_rebounds;tr_rebounds;ast;tovers;st;blk;blka;pf;df;val;plus_minus;poss;usg_pct;ppp;off_rtg_on;def_rtg_on;net_rtg_on;ind_off_rtg;ind_def_rtg;ind_net_rtg;efg_pct;ts_pct;rim_freq;rim_pps;paint_freq;paint_pps;mid_freq;mid_pps;c3_freq;c3_pps;l3_freq;l3_pps;ft_ratio;to_pct;lto_pct;dto_pct;ast_pct;ast_pct_2p;ast_pct_3p;ast_pct_ft;ast_ratio;ast_to_ratio;or_pct;or_pct_after_2p;or_pct_after_3p;or_pct_after_ft;dr_pct;dr_pct_after_2p;dr_pct_after_3p;dr_pct_after_ft;tr_pct;st_pct;blk_pct;blk_pct_2p;blk_pct_3p;pf_100_poss;df_100_poss;per;off_win_share;def_win_share;win_share;win_share_per_40;obpm;dbpm;bpm;vorp;tm_pace_on;tm_off_rtg_on;tm_def_rtg_on;tm_net_rtg_on;tm_ts_pct_on;tm_or_pct_on;tm_to_pct_on;tm_ft_ratio_on;opp_ts_pct_on;opp_or_pct_on;opp_to_pct_on;opp_ft_ratio_on;tm_pace_off;tm_off_rtg_off;tm_def_rtg_off;tm_net_rtg_off;tm_ts_pct_off;tm_or_pct_off;tm_to_pct_off;tm_ft_ratio_off;opp_ts_pct_off;opp_or_pct_off;opp_to_pct_off;opp_ft_ratio_off;tm_pace_net;tm_off_rtg_net;tm_def_rtg_net;tm_net_rtg_net;tm_ts_pct_net;tm_or_pct_net;tm_to_pct_net;tm_ft_ratio_net;opp_ts_pct_net;opp_or_pct_net;opp_to_pct_net;opp_ft_ratio_net
Robert Baker;PF;USA;208;27;ALBA Berlin;6;1;5;0,166666667;14,16666667;6,333333333;0,833333333;2;0,416666667;1,5;3,333333333;0,45;2,333333333;5,333333333;0,4375;0,166666667;0,333333333;0,5;1,333333333;1,5;2,833333333;0,333333333;0,166666667;0,5;0,333333333;0,166666667;1,166666667;0,333333333;6;-10,33333333;5,666666667;0,207317073;1,117647059;104,4303797;139,2638037;-34,83342393;110,8577973;123,9211899;-13,06339261;0,578125;0,575757576;0,147058824;1,6;0,147058824;0,4;0,058823529;0;0,176470588;1,5;0,411764706;1,285714286;0,029411765;0,029411765;0;0,029411765;0,033898305;0,054054054;0;0;0,055555556;2;0,08988764;0,068181818;0,1;0,2;0,134328358;0,172413793;0,085714286;0,166666667;0,108974359;0,018404908;0,014084507;0,025;0;4,294478528;1,265822785;20,7698566;0,05078355;0,033915628;0,084699178;0,034571093;0,820228763;-1,375395394;-0,555166631;0,399849235;73,374613;104,4303797;139,2638037;-34,83342393;0,518867925;0,348314607;0,182926829;0,085365854;0,689969605;0,462686567;0,170087977;0,131964809;75,38994801;105,862069;116,7857143;-10,92364532;0,536713287;0,348993289;0,154891304;0,076086957;0,647524752;0,261682243;0,16892911;0,116138763;-2,015335004;-1,431689219;22,4780894;-23,90977861;-0,017845362;-0,000678682;0,028035525;0,009278897;0,042444852;0,201004324;0,001158866;0,015826046
Justin Bean;F/PF;USA;201;29;ALBA Berlin;13;1;12;0,076923077;19,61538462;5,846153846;1,538461538;3,076923077;0,5;0,692307692;1,538461538;0,45;2,230769231;4,615384615;0,483333333;0,692307692;0,923076923;0,75;2,076923077;2,692307692;4,769230769;1;0,692307692;0,692307692;0,384615385;0,230769231;1,307692308;1,846153846;9,692307692;-3,230769231;5,615384615;0,15098242;1,04109589;108;119,8704104;-11,87041037;117,6729761;110,6453097;7,027666414;0,558333333;0,59375;0,219178082;1,5;0,273972603;0,8;0,054794521;0;0,04109589;1;0,232876712;1,411764706;0,054794521;0,123287671;0,04109589;0,082191781;0,063260341;0,054263566;0,111111111;0,049382716;0,151162791;1,444444444;0,113924051;0,066666667;0,171717172;0,111111111;0,170731707;0,204301075;0,148514851;0,055555556;0,140271493;0,019438445;0,012626263;0,024271845;0;3,671706263;5,052631579;19,9056193;0,170320081;0,330455364;0,500775444;0,078553011;-1,656598191;1,465536919;-0,191061271;0,701408711;73,99234114;108;119,8704104;-11,87041037;0,551020408;0,312236287;0,175801448;0,096173733;0,632118451;0,263414634;0,173626374;0,094505495;73,24764136;93,36099585;122,8395062;-29,47851032;0,490730643;0,326848249;0,16916996;0,065612648;0,611680328;0,337719298;0,1184;0,0944;0,744699784;14,63900415;-2,969095806;17,60809996;0,060289765;-0,014611962;0,006631487;0,030561085;0,020438123;-0,074304664;0,055226374;0,000105495
Malte Delow;SG;GER;194;24;ALBA Berlin;22;3;19;0,136363636;18,40909091;5,909090909;1,954545455;3,181818182;0,614285714;0,409090909;1,954545455;0,209302326;2,363636364;5,136363636;0,460176991;0,772727273;1;0,772727273;1,045454545;1,636363636;2,681818182;1,681818182;0,727272727;0,818181818;0,181818182;0,318181818;2,590909091;1,545454545;6,181818182;-7,318181818;6,272727273;0,179337232;0,942028986;99,60422164;120,8443272;-21,24010554;111,9438818;109,1942147;2,749667059;0,5;0,532786885;0,18115942;1,84;0,282608696;0,923076923;0,043478261;0,666666667;0,014492754;0;0,289855072;0,675;0,065217391;0,115942029;0,057971014;0,057971014;0,126929674;0,152173913;0,107142857;0,058252427;0,211428571;2,3125;0,061662198;0,073891626;0,051948052;0;0,101123596;0,055555556;0,157575758;0,028571429;0,080932785;0,023746702;0,006269592;0,011019284;0;7,519788918;4,485488127;14,12992021;0,12787729;0,654667938;0,782545227;0,074884711;-1,218093159;0,460751933;-0,757341226;0,441627069;74,66754228;99,60422164;120,8443272;-21,24010554;0,518900344;0,340482574;0,209226771;0,081221572;0,610259827;0,356741573;0,175438596;0,14619883;75,13431602;108,9108911;120,7734807;-11,86258957;0,568638713;0,311926606;0,151735962;0,071581655;0,647895673;0,304469274;0,152010605;0,107379585;-0,466773746;-9,306669453;0,070846514;-9,377515967;-0,04973837;0,028555968;0,057490808;0,009639918;-0,037635846;0,052272299;0,023427991;0,038819246
Amon Dorries;C;GER;210;19;ALBA Berlin;5;2;3;0,4;6,8;1,2;0,4;0,4;1;0;0;-;0,4;0,4;1;0,4;0,4;1;0,2;0,2;0,4;0;0,6;0,2;0;0;0,6;0,4;1;-1,2;1,2;0,09375;1;91,42857143;104,4776119;-13,04904051;94,16581372;102,473898;-8,308084319;1;1;0,166666667;2;0,166666667;2;0;-;0;-;0;-;0,166666667;0,5;0,166666667;0,333333333;0;0;0;0;0;0;0,038461538;0,0625;0;-;0,035714286;0;0,076923077;-;0,037037037;0,014925373;0;0;0;4,47761194;2,857142857;4,270091585;-0,017553154;0,068235997;0,050682843;0,059626875;-7,355261289;0,465002053;-6,890259235;-0,53660557;81,59300631;91,42857143;104,4776119;-13,04904051;0,533333333;0,230769231;0,25;0,171875;0,588235294;0,321428571;0,280991736;0,223140496;77,10184552;108,5106383;121,3213213;-12,81068302;0,575806452;0,333333333;0,174358974;0,061538462;0,644338118;0,318518519;0,158365262;0,111111111;4,491160791;-17,08206687;-16,84370938;-0,238357488;-0,042473118;-0,102564103;0,075641026;0,110336538;-0,056102824;0,002910053;0,122626474;0,112029385
Dorian Grosber;SG/F;LUX;197;19;ALBA Berlin;2;1;1;0,5;3;1;0,5;1;0,5;0;0;-;0,5;1;0,5;0;0;-;0;0;0;0;0,5;0,5;0;0;1;0;-0,5;-3;1,5;0,2;0,666666667;86,66666667;135,7142857;-49,04761905;67,44297227;125,5357143;-58,09274201;0,5;0,5;0,333333333;0;0,333333333;2;0;-;0;-;0;-;-;0,333333333;0;0,333333333;0;0;0;0;0;0;0;0;0;-;0;0;0;-;0;0,071428571;0;0;0;14,28571429;0;-0,713354083;-0,027260941;-5,5283E-05;-0,027316224;-0,182108158;-10,07903138;3,624355009;-6,454676372;-0,057900859;101,6949153;86,66666667;135,7142857;-49,04761905;0,464285714;0,125;0,133333333;0,066666667;0,95;0;0,4;0,2;79,8988622;112,6582278;123,8993711;-11,24114322;0,64028777;0,303571429;0,204545455;0,102272727;0,63961039;0,342857143;0,155080214;0,07486631;21,79605305;-25,99156118;11,81491465;-37,80647583;-0,176002055;-0,178571429;-0,071212121;-0,035606061;0,31038961;-0,342857143;0,244919786;0,12513369
Martin Hermannsson;PG;ICE;190;31;ALBA Berlin;23;4;19;0,173913043;22,17391304;9,826086957;2,782608696;5,52173913;0,503937008;0,739130435;2,652173913;0,278688525;3,52173913;8,173913043;0,430851064;2,043478261;2,52173913;0,810344828;0,434782609;1,130434783;1,565217391;5,782608696;2,130434783;0,608695652;0;0,52173913;1,217391304;2,47826087;11,26086957;-4,391304348;11,39130435;0,2724909;0,86259542;103,3755274;116,2365591;-12,86103171;116,0358269;109,8240315;6,211795459;0,47606383;0,530516432;0,103053435;1,407407407;0,251908397;1;0,129770992;0,705882353;0,019083969;1,8;0,209923664;0,763636364;0,095419847;0,187022901;0,15648855;0,030534351;0,380543634;0,373443983;0,491803279;0,273684211;0,336708861;2,714285714;0,021008403;0,024793388;0,019704433;0;0,059633028;0,0625;0,065420561;0;0,039473684;0,015053763;0;0;0;3,010752688;6,012658228;18,89733612;0,513028517;0,71148885;1,224517367;0,09401285;0,495599658;-5,173541738;-4,67794208;-1,137306785;74,13489736;103,3755274;116,2365591;-12,86103171;0,535226652;0,300420168;0,184087363;0,078523141;0,596249311;0,334862385;0,181526962;0,108382274;73,78733572;101,5544041;124,3589744;-22,80457021;0,51817581;0,345864662;0,148681055;0,070503597;0,644518272;0,297297297;0,125428711;0,099461049;0,347561638;1,821123281;-8,122415219;9,9435385;0,017050842;-0,045444494;0,035406308;0,008019544;-0,048268962;0,037565088;0,056098251;0,008921226
Khalifa Koumadje;C;CHA;223;29;ALBA Berlin;5;1;4;0,2;19,4;4,4;2;3,8;0,526315789;0;0;-;2;3,8;0,526315789;0,4;1,2;0,333333333;2;6;8;0,8;1,2;0,4;1,8;0;0,8;1;11,8;-5,4;5,6;0,154696133;0,785714286;89,83050847;108,1395349;-18,30902641;90,0552499;90,2570688;-0,201818892;0,526315789;0,5;0,392857143;1,454545455;0,285714286;0,5;0;-;0;-;0;-;0,107142857;0,214285714;0,107142857;0,107142857;0,063492063;0,045454545;0,153846154;0;0,125;0,666666667;0,104166667;0,088888889;0,130434783;0;0,288461538;0,2;0,38;0;0,2;0,011627907;0,053571429;0,105882353;0;2,325581395;2,824858757;21,90224168;-0,097841525;0,33010072;0,232259195;0,095776988;-6,112214051;3,875946936;-2,236267115;-0,090605691;73,11531842;89,83050847;108,1395349;-18,30902641;0,464912281;0,34375;0,215469613;0,060773481;0,52247191;0,269230769;0,115183246;0,052356021;70,95315024;110,9289617;121,5053763;-10,5764146;0,551630435;0,322916667;0,12345679;0,082304527;0,627777778;0,225;0,112676056;0,117370892;2,162168174;-21,09845327;-13,36584146;-7,732611814;-0,086718154;0,020833333;0,092012823;-0,021531046;-0,105305868;0,044230769;0,00250719;-0,065014871
Jonas Mattisseck;SG;GER;194;25;ALBA Berlin;28;3;25;0,107142857;13,53571429;2,535714286;0,25;0,678571429;0,368421053;0,607142857;2,607142857;0,232876712;0,857142857;3,285714286;0,260869565;0,214285714;0,25;0,857142857;0,107142857;0,678571429;0,785714286;0,571428571;0,357142857;0,535714286;0;0,214285714;1,821428571;1;0,571428571;-4,178571429;3,714285714;0,144144144;0,682692308;100,1414427;116,3610719;-16,21962922;81,39369684;109,1671107;-27,77341386;0,35326087;0,377659574;0,067307692;1,142857143;0,057692308;0,333333333;0,057692308;0,666666667;0,067307692;0,857142857;0,625;0,692307692;0,019230769;0,096153846;0,067307692;0,028846154;0,053962901;0,031088083;0,177777778;0,034188034;0,133333333;1,6;0,008379888;0;0,017647059;0;0,06031746;0,097744361;0,038709677;0;0,03268945;0,021156559;0;0;0;7,193229901;3,96039604;1,006724399;-0,503823625;0,564835041;0,061011416;0,006322427;-5,575615458;-0,578733251;-6,154348709;-1,043576849;74,58789397;100,1414427;116,3610719;-16,21962922;0,516411379;0,32122905;0,191268191;0,086625087;0,60840708;0,323809524;0,189111748;0,151862464;74,36904841;104,512894;124,4971264;-19,98423245;0,55793499;0,312977099;0,174040434;0,074128333;0,646159582;0,309364548;0,141252955;0,092789598;0,218845562;-4,371451267;-8,136054504;3,764603237;-0,041523612;0,008251951;0,017227758;0,012496754;-0,037752503;0,014444975;0,047858793;0,059072866
David McCormack;C;USA;208;26;ALBA Berlin;22;3;19;0,136363636;19,04545455;10,45454545;4,090909091;6,636363636;0,616438356;0;0,090909091;0;4,090909091;6,727272727;0,608108108;2,272727273;3,136363636;0,724637681;2;3,727272727;5,727272727;0,681818182;1,954545455;1;0,136363636;0,318181818;2,954545455;3,090909091;12,36363636;-4,590909091;10,04545455;0,28516129;1,040723982;105,1612903;119,2708333;-14,10954301;103,1068574;104,3352561;-1,228398726;0,608108108;0,646067416;0,271493213;1,8;0,28959276;0,9375;0,099547511;0,545454545;0;-;0,009049774;0;0,135746606;0,194570136;0,090497738;0,104072398;0,057251908;0,062068966;0,071428571;0,021276596;0,063559322;0,348837209;0,119565217;0,140540541;0,105590062;0,055555556;0,236311239;0,268456376;0,210227273;0,185185185;0,176223776;0,028645833;0,004608295;0,008310249;0;8,463541667;8,774193548;24,69470778;-0,163506109;0,776255678;0,612749569;0,058496379;-3,569863514;0,150358735;-3,419504779;-0,528410376;73,90336936;105,1612903;119,2708333;-14,10954301;0,551420839;0,339673913;0,209032258;0,101935484;0,623129252;0,340057637;0,201602136;0,112149533;75,40379711;103,2694476;123,8470191;-20,57757155;0,53255814;0,309734513;0,147796024;0,060501296;0,646126761;0,331491713;0,137750654;0,122929381;-1,500427752;1,891842746;-4,576185789;6,468028536;0,018862699;0,0299394;0,061236234;0,041434187;-0,022997509;0,008565924;0,063851482;-0,010779848
William McDowell White;SG;AUS;196;27;ALBA Berlin;21;2;19;0,095238095;19;5,761904762;1,238095238;2,19047619;0,565217391;1,047619048;3;0,349206349;2,285714286;5,19047619;0,440366972;0,142857143;0,142857143;1;0,285714286;1,428571429;1,714285714;3,666666667;1,19047619;0,619047619;0,095238095;0,238095238;1,285714286;0,714285714;6,952380952;-7,428571429;6,428571429;0,183050847;0,896296296;105,5934516;126,0162602;-20,42280859;125,2428224;117,0466515;8,196170971;0,541284404;0,55;0,103703704;1,571428571;0,214814815;0,896551724;0,022222222;1,333333333;0,051851852;0,428571429;0,414814815;1,125;0,007407407;0,185185185;0,118518519;0,066666667;0,256239601;0,219251337;0,444444444;0,158415842;0,363207547;3,08;0,016304348;0,011173184;0,023529412;0;0,09202454;0,090277778;0,09202454;0,083333333;0,051873199;0,017615176;0,003169572;0,005934718;0;3,658536585;2,04638472;15,95974101;0,704071734;0,361358112;1,065429847;0,10171168;-1,126654707;-2,325500467;-3,452155174;-0,498551696;73,38255537;105,5934516;126,0162602;-20,42280859;0,546996466;0,33423913;0,202033898;0,072542373;0,645833333;0,337423313;0,172922252;0,119302949;74,3517791;99,39613527;118,2151589;-18,81902366;0,514053716;0,315165877;0,149791956;0,064262598;0,619078105;0,324929972;0,147540984;0,102217936;-0,969223725;6,197316303;7,801101238;-1,603784935;0,03294275;0,019073254;0,052241943;0,008279775;0,026755228;0,012493341;0,025381268;0,017085013
Anton Nufer;F/PF;GER;204;19;ALBA Berlin;5;1;4;0,2;4,4;0,8;0;0;-;0,2;0,2;1;0,2;0,2;1;0,2;0,4;0,5;0;0,4;0,4;0;0,6;0;0;0;0,4;0;0;-2,8;1;0,151515152;0,8;102,2727273;137,2093023;-34,93657505;54,31809301;127,1576068;-72,83951383;1,5;1;0;-;0;-;0;-;0;-;0,2;3;0,2;0,6;0,4;0,2;0;0;0;-;0;0;0;0;0;-;0,095238095;0,111111111;0,1;0;0,0625;0;0;0;0;4,651162791;0;-1,376691107;-0,057440434;-0,00392094;-0,061361375;-0,111566136;-12,8809801;-1,514137749;-14,39511785;-0,5907326;78,57142857;102,2727273;137,2093023;-34,93657505;0,75;0,181818182;0,484848485;0,03030303;0,641304348;0,333333333;0,108695652;0,130434783;78,42278204;103,6312849;121,2885154;-17,65723049;0,567278287;0,289473684;0,182692308;0,084134615;0,658054711;0,313868613;0,175308642;0,108641975;0,148646534;-1,358557643;15,92078692;-17,27934456;0,182721713;-0,107655502;0,302156177;-0,053831585;-0,016750363;0,01946472;-0,06661299;0,021792807
Louis Olinde;PF;GER;205;27;ALBA Berlin;22;3;19;0,136363636;19;5,454545455;1,681818182;2,454545455;0,685185185;0,454545455;2,454545455;0,185185185;2,136363636;4,909090909;0,435185185;0,727272727;1;0,727272727;0,863636364;1,818181818;2,681818182;1,136363636;0,772727273;0,318181818;0,454545455;0,090909091;2,909090909;1,590909091;4,818181818;-5,772727273;6,045454545;0,172279793;0,902255639;100,5215124;117,3856209;-16,86410853;98,49668325;109,922384;-11,42570078;0,481481481;0,517241379;0,165413534;1,545454545;0,187969925;1,28;0,052631579;1,142857143;0,037593985;1,2;0,360902256;0,5;0,060150376;0,127819549;0,060150376;0,067669173;0,081967213;0,070707071;0,132075472;0,074074074;0,158227848;1,470588235;0,048969072;0,038461538;0,055555556;0,090909091;0,116959064;0,113333333;0,117283951;0,097560976;0,080821918;0,009150327;0,015873016;0,026706231;0;8,366013072;4,563233377;9,946387566;-0,204688988;0,599860917;0,395171929;0,036088761;-2,992524305;-0,034746866;-3,027271171;-0,354000284;73,37372449;100,5215124;117,3856209;-16,86410853;0,52165088;0,317010309;0,196891192;0,084196891;0,614647502;0,280701754;0,174027686;0,132498352;74,45380551;106,4441887;118,5614849;-12,1172962;0,562652068;0,309002433;0,156810036;0,063620072;0,595918367;0,352380952;0,137281292;0,100942127;-1,080081022;-5,922676337;-1,175864004;-4,746812333;-0,041001189;0,008007876;0,040081156;0,02057682;0,018729134;-0,071679198;0,036746394;0,031556225
Gabriele Procida;F;ITA;198;23;ALBA Berlin;25;4;21;0,16;20,4;9,6;2,76;4,48;0,616071429;0,8;3,76;0,212765957;3,56;8,24;0,432038835;1,68;2,12;0,79245283;0,6;1,6;2,2;0,72;1,16;0,72;0,36;0,12;1,8;2;7,4;-8,2;10,32;0,270015699;0,930232558;104,5174538;123,4106963;-18,89324247;95,75111743;114,2379109;-18,48679349;0,480582524;0,524017467;0,19379845;1,6;0,151162791;0,923076923;0,089147287;0,956521739;0,031007752;0,375;0,333333333;0,662790698;0,089147287;0,112403101;0,058139535;0,054263566;0,05034965;0,060465116;0,051282051;0,015503876;0,065217391;0,620689655;0,032679739;0,03125;0,037735849;0;0,095465394;0,08988764;0,102325581;0,060606061;0,062642369;0,018163471;0,010650888;0,012578616;0,002717391;4,54086781;5,133470226;15,87561634;-0,483885387;0,571313178;0,087427791;0,006561185;-4,106566547;-1,769305323;-5,87587187;-1,491739408;76,35722219;104,5174538;123,4106963;-18,89324247;0,555980339;0,307189542;0,208267923;0,093668237;0,640314136;0,338902148;0,180344478;0,111448835;74,4898633;103,1914894;121,8954248;-18,70393547;0,529187125;0,342494715;0,150809317;0,065929728;0,633635334;0,326732673;0,140350877;0,103592314;1,867358883;1,325964437;1,51527143;-0,189306993;0,026793214;-0,035305172;0,057458606;0,027738509;0,006678802;0,012169475;0,039993601;0,007856521
